diarization,dilate_ms,scene,speaker,system,m,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
real,400.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-21.87840030728006,,,2,SPEAKER_01,3
real,800.0,long_00001_3729-2300-8230,s1,no_recursion,3,-16.449765197914363,,,0,SPEAKER_02,3
real,800.0,long_00001_3729-2300-8230,s2,no_recursion,3,-3.9483215068533193,,,0,SPEAKER_00,3
real,800.0,long_00001_3729-2300-8230,s3,no_recursion,3,-22.23940949620193,,,0,SPEAKER_01,3
real,800.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-17.084349023144416,2,2,0,SPEAKER_02,3
real,800.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-5.521033096123313,1,1,0,SPEAKER_00,3
real,800.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-22.23940949620193,0,0,0,SPEAKER_01,3
real,800.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-17.084349023144416,2,2,0,SPEAKER_02,3
real,800.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-5.521033096123313,1,1,0,SPEAKER_00,3
real,800.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-22.23940949620193,0,0,0,SPEAKER_01,3
real,800.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-17.031052099574147,,,2,SPEAKER_02,3
real,800.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-4.501706130963755,,,2,SPEAKER_00,3
real,800.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-22.23940949620193,,,2,SPEAKER_01,3
oracle,0.0,long_00002_4077-237-2300,s1,no_recursion,3,-17.993888147245688,,,0,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,no_recursion,3,-2.5320856098107365,,,0,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,no_recursion,3,-9.172493467616219,,,0,s3,3
oracle,0.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-17.993888147245688,0,0,0,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-4.005039146735668,1,1,0,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-7.374620970134394,2,2,0,s3,3
oracle,0.0,long_00002_4077-237-2300,s1,gated_deflation,3,-17.993888147245688,0,0,0,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,gated_deflation,3,-4.005039146735668,1,1,0,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,gated_deflation,3,-7.374620970134394,2,2,0,s3,3
oracle,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-21.384809806874756,,,2,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-7.804215638362822,,,2,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-10.027845484589433,,,2,s3,3
oracle,200.0,long_00002_4077-237-2300,s1,no_recursion,3,-17.61140246430105,,,0,s1,3
oracle,200.0,long_00002_4077-237-2300,s2,no_recursion,3,-2.1474615049367176,,,0,s2,3
oracle,200.0,long_00002_4077-237-2300,s3,no_recursion,3,-9.073071309361486,,,0,s3,3
oracle,200.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-17.61140246430105,0,0,0,s1,3
oracle,200.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-3.722106117907869,1,1,0,s2,3
oracle,200.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-7.039945510423883,2,2,0,s3,3
oracle,200.0,long_00002_4077-237-2300,s1,gated_deflation,3,-17.61140246430105,0,0,0,s1,3
oracle,200.0,long_00002_4077-237-2300,s2,gated_deflation,3,-3.722106117907869,1,1,0,s2,3
oracle,200.0,long_00002_4077-237-2300,s3,gated_deflation,3,-7.039945510423883,2,2,0,s3,3
oracle,200.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-21.5402852958689,,,2,s1,3
oracle,200.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-7.165686981980955,,,2,s2,3
oracle,200.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-9.781785439690715,,,2,s3,3
oracle,400.0,long_00002_4077-237-2300,s1,no_recursion,3,-17.49316614413605,,,0,s1,3
