diarization,dilate_ms,scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,50.0,long_00001_3729-2300-8230,s3,no_recursion,3,2,-4.538361102030012,,,0,s3,3
oracle,50.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,1,42.90323666922487,0,0,0,s1,3
oracle,50.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,2,2.9910490868577395,0,0,0,s1,3
oracle,50.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,1,15.139613508999705,1,1,0,s2,3
oracle,50.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,2,4.583345436258862,1,1,0,s2,3
oracle,50.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,1,19.693155216063122,2,2,0,s3,3
oracle,50.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,2,-6.069221457525905,2,2,0,s3,3
oracle,50.0,long_00001_3729-2300-8230,s1,gated_deflation,3,1,42.90323666922487,0,0,0,s1,3
oracle,50.0,long_00001_3729-2300-8230,s1,gated_deflation,3,2,2.9910490868577395,0,0,0,s1,3
oracle,50.0,long_00001_3729-2300-8230,s2,gated_deflation,3,1,15.139613508999705,1,1,0,s2,3
oracle,50.0,long_00001_3729-2300-8230,s2,gated_deflation,3,2,4.583345436258862,1,1,0,s2,3
oracle,50.0,long_00001_3729-2300-8230,s3,gated_deflation,3,1,19.693155216063122,2,2,0,s3,3
oracle,50.0,long_00001_3729-2300-8230,s3,gated_deflation,3,2,-6.069221457525905,2,2,0,s3,3
oracle,50.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,1,43.09144313113912,,,2,s1,3
oracle,50.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,2,0.7202244904726232,,,2,s1,3
oracle,50.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,1,14.616133782972337,,,2,s2,3
oracle,50.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,2,4.9248569153085695,,,2,s2,3
oracle,50.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,1,17.82937144804733,,,2,s3,3
oracle,50.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,2,-4.538361102030012,,,2,s3,3
real,0.0,long_00001_3729-2300-8230,s1,no_recursion,3,1,34.011568406997924,,,0,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s1,no_recursion,3,2,-1.6317005490091527,,,0,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s2,no_recursion,3,1,94.03269338645286,,,0,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s2,no_recursion,3,2,2.4323987954886497,,,0,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s3,no_recursion,3,1,59.53255497861917,,,0,SPEAKER_01,3
real,0.0,long_00001_3729-2300-8230,s3,no_recursion,3,2,-8.124886001764756,,,0,SPEAKER_01,3
