scene,speaker,solo_interior,solo_seams,overlap_proposed,overlap_blind,eval_margin
61-70970-0011_8555-284447-0003_8224-274381-0000,s1,inf,51.50021556866711,4.717979009177991,5.261168413852454,0.2448321135150644
61-70970-0011_8555-284447-0003_8224-274381-0000,s2,inf,24.112589908458162,9.240309472361336,-0.8373560590587288,0.304344119385757
61-70970-0011_8555-284447-0003_8224-274381-0000,s3,inf,66.90884152293599,26.2411043683292,24.533861018674756,0.317943124964122
61-70968-0004_1284-1180-0005_2094-142345-0006,s1,inf,40.949865858105554,1.3725090979112862,-2.304900625204773,-0.20573684576610407
61-70968-0004_1284-1180-0005_2094-142345-0006,s2,inf,33.27079640536685,3.325984013817976,-5.216327416227352,-0.14487879357117228
61-70968-0004_1284-1180-0005_2094-142345-0006,s3,inf,39.8116109303103,5.476584400988367,5.090199991350223,0.23342914250959568
7021-85628-0018_2961-960-0002_4446-2275-0028,s1,inf,40.01079460342186,10.691093949021429,11.094534064722886,0.3187467025884705
7021-85628-0018_2961-960-0002_4446-2275-0028,s2,inf,44.96364501105265,0.5920605509186574,-4.752675846591962,0.2606766578569192
7021-85628-0018_2961-960-0002_4446-2275-0028,s3,inf,56.1185634024773,1.2331081171010942,1.3826213715794555,0.12090319247049375
8455-210777-0065_4507-16021-0035_2961-960-0007,s1,inf,46.667091932881775,1.4407039050820505,6.328699319745127,0.550154074041586
8455-210777-0065_4507-16021-0035_2961-960-0007,s2,inf,41.34233912407922,5.493738462082126,2.1937390411460687,0.06235903750054361
8455-210777-0065_4507-16021-0035_2961-960-0007,s3,inf,58.55507303277772,2.9446655993428053,-4.2622231090894145,0.17746416872756898
7127-75946-0018_3575-170457-0019_5142-33396-0024,s1,inf,61.80360087142705,5.608066933961451,10.180805420570366,0.2522696694278934
7127-75946-0018_3575-170457-0019_5142-33396-0024,s2,inf,59.76749580845936,5.218247854298715,7.100693037760748,0.14796410017535433
7127-75946-0018_3575-170457-0019_5142-33396-0024,s3,inf,80.26460646653446,1.4948498894059012,-3.7401245259259652,0.28507415256881774
3575-170457-0043_1995-1837-0027_5142-33396-0022,s1,inf,49.762217859579884,-3.6296107587049447,-3.4700573216257604,0.144732967921255
3575-170457-0043_1995-1837-0027_5142-33396-0022,s2,inf,28.7187522474229,2.340884108803716,3.0982929906954597,-0.12511495763122604
3575-170457-0043_1995-1837-0027_5142-33396-0022,s3,inf,inf,nan,nan,0.16381366010491005
1580-141083-0032_5105-28240-0009_4446-2273-0019,s1,inf,52.99483554514307,4.509090627766517,11.3521804166211,0.047371090525651915
1580-141083-0032_5105-28240-0009_4446-2273-0019,s2,inf,59.78917186986224,7.877222212909239,12.095497656240903,0.31809702257497696
1580-141083-0032_5105-28240-0009_4446-2273-0019,s3,inf,30.306882797121197,9.73291340897997,1.8084868587819143,0.14242435951726673
5142-36586-0004_7127-75947-0000_8455-210777-0059,s1,inf,32.104616098728286,0.5872020890703747,-0.15394157695135252,0.32947605880113306
5142-36586-0004_7127-75947-0000_8455-210777-0059,s2,inf,51.3789985476079,4.111801480530149,-1.7318829884067695,0.17521270495343244
5142-36586-0004_7127-75947-0000_8455-210777-0059,s3,inf,30.33361389841997,-0.07198307034975923,5.073756781922386,-0.017175426596188315
8455-210777-0020_61-70968-0054_7729-102255-0023,s1,inf,65.53379856008635,2.975521924605296,5.203616832499383,0.10775903422256417
8455-210777-0020_61-70968-0054_7729-102255-0023,s2,inf,43.844545901477325,3.712732455027963,4.218661255737373,0.24349130813744468
8455-210777-0020_61-70968-0054_7729-102255-0023,s3,inf,37.11570685731418,-1.0789265919040076,-2.2673237628947733,0.11403511809867584
7176-88083-0000_4970-29095-0006_2094-142345-0034,s1,inf,53.20486232246071,7.27701519885947,9.777617079372623,0.11572421367772034
7176-88083-0000_4970-29095-0006_2094-142345-0034,s2,inf,30.021954293363407,9.866663491018404,-0.3376394410989056,-0.21483217168976654
7176-88083-0000_4970-29095-0006_2094-142345-0034,s3,inf,30.028921111688973,10.920895632733412,13.481222819060628,0.21636001213097067
