scene,speaker,system,depth,si_sdr
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,ungated_deflation,1,inf
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,ungated_deflation,2,nan
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,ungated_deflation,3,-0.3735616018912853
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,ungated_deflation,1,8.935512717915735
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,ungated_deflation,2,0.19249396030648852
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,ungated_deflation,3,-4.813102821901271
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,gated_deflation,1,41.65105393946688
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,gated_deflation,2,-2.8026719977724426
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,gated_deflation,3,-2.4846777536903124
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,gated_deflation,1,inf
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,gated_deflation,2,nan
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,gated_deflation,3,2.122646027882718
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,gated_deflation,1,32.883000478211045
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,gated_deflation,2,2.8348861285469558
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,gated_deflation,3,-8.744606718655575
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,coarse_to_fine,1,41.65105393946688
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,coarse_to_fine,2,-2.8026719977724426
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,coarse_to_fine,3,-2.4846777536903124
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,coarse_to_fine,1,inf
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,coarse_to_fine,2,nan
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,coarse_to_fine,3,1.6714209318753948
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,coarse_to_fine,1,32.81007935039871
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,coarse_to_fine,2,2.455248153755489
