scene,speaker,system,depth,si_sdr
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,ungated_deflation,3,-13.872462792163958
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,ungated_deflation,1,inf
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,ungated_deflation,2,nan
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,ungated_deflation,3,7.7073261047551
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,ungated_deflation,1,25.10252999943871
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,ungated_deflation,2,-11.121972363512139
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,ungated_deflation,3,1.3032958311605238
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,gated_deflation,1,27.015415317927854
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,gated_deflation,2,17.218765321111896
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,gated_deflation,3,-13.872462792163958
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,gated_deflation,1,inf
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,gated_deflation,2,nan
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,gated_deflation,3,7.7073261047551
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,gated_deflation,1,25.10252999943871
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,gated_deflation,2,-11.121972363512139
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,gated_deflation,3,1.3032958311605238
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,coarse_to_fine,1,29.344450862393458
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,coarse_to_fine,2,24.92884862037603
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,coarse_to_fine,3,-10.094220288152876
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,coarse_to_fine,1,inf
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,coarse_to_fine,2,nan
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,coarse_to_fine,3,7.809541210073309
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,coarse_to_fine,1,31.669436699333527
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,coarse_to_fine,2,-8.492389866436552
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,coarse_to_fine,3,7.152896270683353
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,no_recursion,1,inf
