diarization,dilate_ms,scene,speaker,system,m,si_sdr,si_sdr_pooled,level_error_db,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
real,0.0,long_00004_5639-61-1089,s2,gated_deflation,3,-7.409535245429132,-0.6336045512941482,13.613205260221271,2,2,0,SPEAKER_02,3
real,0.0,long_00004_5639-61-1089,s3,gated_deflation,3,-36.32082352975352,-0.39199457573717034,6.307610804110456,1,1,0,SPEAKER_01,3
real,0.0,long_00004_5639-61-1089,s1,coarse_to_fine,3,-12.658259968688544,-1.2759425573309353,5.8098440187699305,,,0,SPEAKER_00,3
real,0.0,long_00004_5639-61-1089,s2,coarse_to_fine,3,-13.517712735462059,-1.5008745786124809,2.4909758915084774,,,0,SPEAKER_02,3
real,0.0,long_00004_5639-61-1089,s3,coarse_to_fine,3,-40.33481816140121,-0.48840115903299397,6.492782258306738,,,0,SPEAKER_01,3
oracle,0.0,long_00005_3570-908-4507,s1,no_recursion,3,-32.27549190009789,10.549302427444003,9.547278892188357,,,0,s1,3
oracle,0.0,long_00005_3570-908-4507,s2,no_recursion,3,-17.425371406913563,6.0124117133135275,5.516102624395499,,,0,s2,3
oracle,0.0,long_00005_3570-908-4507,s3,no_recursion,3,-9.281523329304338,10.331017448861466,11.00211493379087,,,0,s3,3
oracle,0.0,long_00005_3570-908-4507,s1,ungated_deflation,3,-32.27549190009789,10.549302427444003,9.547278892188357,0,0,0,s1,3
oracle,0.0,long_00005_3570-908-4507,s2,ungated_deflation,3,-10.37125958894184,5.306709019970677,10.49909183214191,1,1,0,s2,3
oracle,0.0,long_00005_3570-908-4507,s3,ungated_deflation,3,-8.220332035441947,4.451779914041867,16.576287799594482,2,2,0,s3,3
oracle,0.0,long_00005_3570-908-4507,s1,gated_deflation,3,-32.27549190009789,10.549302427444003,9.547278892188357,0,0,0,s1,3
oracle,0.0,long_00005_3570-908-4507,s2,gated_deflation,3,-10.37125958894184,5.306709019970677,10.49909183214191,1,1,0,s2,3
oracle,0.0,long_00005_3570-908-4507,s3,gated_deflation,3,-8.220332035441947,4.451779914041867,16.576287799594482,2,2,0,s3,3
oracle,0.0,long_00005_3570-908-4507,s1,coarse_to_fine,3,-32.27549190009789,10.549302427444003,9.547278892188357,,,0,s1,3
