diarization,dilate_ms,scene,speaker,system,m,si_sdr,si_sdr_pooled,level_error_db,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,400.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-17.49316614413605,5.298113025588154,7.667802646356216,0,0,0,s1,3
oracle,400.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-3.6025144934254536,-3.3911609099199085,19.14689219222791,1,1,0,s2,3
oracle,400.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-7.310954009049237,4.420365139547012,17.84572733966019,2,2,0,s3,3
oracle,400.0,long_00002_4077-237-2300,s1,gated_deflation,3,-17.49316614413605,5.298113025588154,7.667802646356216,0,0,0,s1,3
oracle,400.0,long_00002_4077-237-2300,s2,gated_deflation,3,-3.6025144934254536,-3.3911609099199085,19.14689219222791,1,1,0,s2,3
oracle,400.0,long_00002_4077-237-2300,s3,gated_deflation,3,-7.310954009049237,4.420365139547012,17.84572733966019,2,2,0,s3,3
oracle,400.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-17.49316614413605,5.298113025588154,7.667802646356216,,,0,s1,3
oracle,400.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-2.017833775287982,-2.051754110465622,14.593952014569588,,,0,s2,3
oracle,400.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-8.925577573777625,5.4439471693040575,11.974655145228667,,,0,s3,3
real,0.0,long_00002_4077-237-2300,s1,no_recursion,3,-28.34353281153893,3.619540807775296,5.4547822872269744,,,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,no_recursion,3,-3.7882086936560295,2.683287038121021,9.68006477506051,,,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,no_recursion,3,-18.88381122087512,2.7591209734805595,6.68447502956632,,,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-9.005693462731356,4.097451638865362,17.98653382338951,2,2,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-4.360506027461458,1.17804986679836,11.537326200659496,1,1,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-18.88381122087512,2.7591209734805595,6.68447502956632,0,0,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,gated_deflation,3,-9.005693462731356,4.097451638865362,17.98653382338951,2,2,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,gated_deflation,3,-4.360506027461458,1.17804986679836,11.537326200659496,1,1,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,gated_deflation,3,-18.88381122087512,2.7591209734805595,6.68447502956632,0,0,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-28.34353281153893,3.619540807775296,5.4547822872269744,,,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-3.7882086936560295,2.683287038121021,9.68006477506051,,,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-18.88381122087512,2.7591209734805595,6.68447502956632,,,0,SPEAKER_02,3
real,400.0,long_00002_4077-237-2300,s1,no_recursion,3,-18.4732025471141,5.869280001605529,7.311288662253163,,,0,SPEAKER_01,3
real,400.0,long_00002_4077-237-2300,s2,no_recursion,3,-3.09393281138173,3.640817861752681,10.25281842614185,,,0,SPEAKER_00,3
real,400.0,long_00002_4077-237-2300,s3,no_recursion,3,-10.01339555707853,8.251109844652019,10.958945179215148,,,0,SPEAKER_02,3
real,400.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-18.4732025471141,5.869280001605529,7.311288662253163,0,0,0,SPEAKER_01,3
real,400.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-4.931469159339857,-0.3721436156373056,15.860507227454804,2,2,0,SPEAKER_00,3
real,400.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-12.617030034469192,7.408280068617502,9.023766469819025,1,1,0,SPEAKER_02,3
real,400.0,long_00002_4077-237-2300,s1,gated_deflation,3,-18.4732025471141,5.869280001605529,7.311288662253163,0,0,0,SPEAKER_01,3
real,400.0,long_00002_4077-237-2300,s2,gated_deflation,3,-4.931469159339857,-0.3721436156373056,15.860507227454804,2,2,0,SPEAKER_00,3
real,400.0,long_00002_4077-237-2300,s3,gated_deflation,3,-12.617030034469192,7.408280068617502,9.023766469819025,1,1,0,SPEAKER_02,3
real,400.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-18.4732025471141,5.869280001605529,7.311288662253163,,,0,SPEAKER_01,3
real,400.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-3.09393281138173,3.640817861752681,10.25281842614185,,,0,SPEAKER_00,3
real,400.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-10.01339555707853,8.251109844652019,10.958945179215148,,,0,SPEAKER_02,3
oracle,0.0,long_00003_4507-7176-8455,s1,no_recursion,3,-22.283439560828317,8.505410146203229,6.989282106769289,,,0,s1,3
oracle,0.0,long_00003_4507-7176-8455,s2,no_recursion,3,-4.559610727403976,4.4483768015925005,11.789912403038048,,,0,s2,3
oracle,0.0,long_00003_4507-7176-8455,s3,no_recursion,3,-17.875296960723514,5.624980053361794,12.592065650588928,,,0,s3,3
oracle,0.0,long_00003_4507-7176-8455,s1,ungated_deflation,3,-22.283439560828317,8.505410146203229,6.989282106769289,0,0,0,s1,3
oracle,0.0,long_00003_4507-7176-8455,s2,ungated_deflation,3,-4.4426009162134505,4.451512545290741,12.180174415728104,1,1,0,s2,3
