diarization,dilate_ms,scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
real,0.0,long_00014_6829-2094-7021,s1,ungated_deflation,3,2,-7.296327500023123,0,0,0,SPEAKER_01,3
real,0.0,long_00014_6829-2094-7021,s2,ungated_deflation,3,1,22.993854339060952,2,2,0,SPEAKER_02,3
real,0.0,long_00014_6829-2094-7021,s2,ungated_deflation,3,2,-2.138482016084084,2,2,0,SPEAKER_02,3
real,0.0,long_00014_6829-2094-7021,s3,ungated_deflation,3,1,51.8862545897327,1,1,0,SPEAKER_00,3
real,0.0,long_00014_6829-2094-7021,s3,ungated_deflation,3,2,0.2479377243091776,1,1,0,SPEAKER_00,3
real,0.0,long_00014_6829-2094-7021,s1,gated_deflation,3,1,44.903188101242065,0,0,0,SPEAKER_01,3
real,0.0,long_00014_6829-2094-7021,s1,gated_deflation,3,2,-7.296327500023123,0,0,0,SPEAKER_01,3
real,0.0,long_00014_6829-2094-7021,s2,gated_deflation,3,1,22.993854339060952,2,2,0,SPEAKER_02,3
real,0.0,long_00014_6829-2094-7021,s2,gated_deflation,3,2,-2.138482016084084,2,2,0,SPEAKER_02,3
real,0.0,long_00014_6829-2094-7021,s3,gated_deflation,3,1,51.8862545897327,1,1,0,SPEAKER_00,3
real,0.0,long_00014_6829-2094-7021,s3,gated_deflation,3,2,0.2479377243091776,1,1,0,SPEAKER_00,3
real,0.0,long_00014_6829-2094-7021,s1,coarse_to_fine,3,1,44.903188101242065,,,2,SPEAKER_01,3
real,0.0,long_00014_6829-2094-7021,s1,coarse_to_fine,3,2,-9.087290768622864,,,2,SPEAKER_01,3
real,0.0,long_00014_6829-2094-7021,s2,coarse_to_fine,3,1,22.993854339060952,,,2,SPEAKER_02,3
real,0.0,long_00014_6829-2094-7021,s2,coarse_to_fine,3,2,-2.4859039788674853,,,2,SPEAKER_02,3
real,0.0,long_00014_6829-2094-7021,s3,coarse_to_fine,3,1,51.8862545897327,,,2,SPEAKER_00,3
real,0.0,long_00014_6829-2094-7021,s3,coarse_to_fine,3,2,1.0147130104075994,,,2,SPEAKER_00,3
oracle,0.0,long_00015_4992-1089-4970,s1,no_recursion,3,1,44.41338132005345,,,0,s1,3
oracle,0.0,long_00015_4992-1089-4970,s1,no_recursion,3,2,6.284547432867061,,,0,s1,3
