scene,speaker,system,round,accepted,mean_variance,margin,vad_coverage,artifact_score,reason
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,gated_deflation,0,True,9.881040225663392e-05,0.38255371713172936,1.0,0.4349570904629502,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,gated_deflation,0,True,0.0,0.1936977993831897,0.998554104477612,0.6566546820363776,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,gated_deflation,0,True,0.0,0.44431128870715997,1.0,0.7023394505426251,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,coarse_to_fine,0,False,9.881040225663392e-05,-0.2437310603764911,0.9856222222222222,0.276069921575777,margin
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,coarse_to_fine,0,True,0.0,0.2690462191588498,1.0,0.27803083425963165,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,coarse_to_fine,0,True,0.0,0.39840208856734627,1.0,0.41976449080877387,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,coarse_to_fine,1,False,9.881040225663392e-05,-0.5074098553920422,0.9856222222222222,0.276069921575777,margin
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,coarse_to_fine,1,True,0.0,0.49138433722478936,1.0,0.3035054744432045,accepted
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,coarse_to_fine,1,True,0.0,0.5796556282888434,1.0,0.4398184908119485,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,gated_deflation,0,True,0.0,0.41817037439907834,1.0,0.49890247989173586,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,gated_deflation,0,True,0.00033402879896674784,0.22262675420727768,1.0,0.4369835444335619,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,gated_deflation,0,False,0.0,-0.021721766650984964,1.0,0.658640036865511,margin
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,coarse_to_fine,0,True,0.0,0.2746919206559118,1.0,0.33451712834486874,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,coarse_to_fine,0,True,0.00033402879896674784,0.2450449481585678,0.9872666666666666,0.26278003878877815,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,coarse_to_fine,0,False,0.0,-0.30181196996410653,1.0,0.2930450552753795,margin
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,coarse_to_fine,1,True,0.0,0.5130877957722391,1.0,0.3558859435255141,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s2,coarse_to_fine,1,True,0.00033402879896674784,0.5318598938753173,0.98725,0.28233734264907656,accepted
7021-85628-0027_3575-170457-0025_8555-292519-0010,s3,coarse_to_fine,1,False,0.0,-0.5387403753913996,1.0,0.2930450552753795,margin
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,gated_deflation,0,True,0.0,0.13303192883549197,1.0,0.7205421891583559,accepted
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,gated_deflation,0,True,0.00018783607609981645,0.5661918840043034,1.0,0.5660635641636723,accepted
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,gated_deflation,0,False,0.0,0.06659755971364628,1.0,0.8277085848283775,margin
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,coarse_to_fine,0,True,0.0,0.12268375968037992,1.0,0.387220749758825,accepted
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,coarse_to_fine,0,True,0.00018783607609981645,0.5708931137214248,1.0,0.5298971383807306,accepted
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,coarse_to_fine,0,False,0.0,-0.029003431867713148,1.0,0.40905724791329034,margin
5639-40744-0012_1221-135766-0005_260-123286-0015,s1,coarse_to_fine,1,True,0.0,0.4615538400852241,1.0,0.40385323310310256,accepted
5639-40744-0012_1221-135766-0005_260-123286-0015,s2,coarse_to_fine,1,True,0.00018783607609981645,0.6897628732387282,1.0,0.5346916367451635,accepted
5639-40744-0012_1221-135766-0005_260-123286-0015,s3,coarse_to_fine,1,False,0.0,-0.30101574359951067,1.0,0.40905724791329034,margin
260-123286-0003_1221-135766-0008_2830-3980-0067,s1,gated_deflation,0,False,0.0,-0.11389120070545611,1.0,0.6390954937949886,margin
260-123286-0003_1221-135766-0008_2830-3980-0067,s2,gated_deflation,0,True,8.539911346546257e-05,0.3744365964461439,1.0,0.6089992394659904,accepted
260-123286-0003_1221-135766-0008_2830-3980-0067,s3,gated_deflation,0,True,0.0,0.2150546295712611,1.0,0.6568703730615041,accepted
260-123286-0003_1221-135766-0008_2830-3980-0067,s1,coarse_to_fine,0,False,0.0,-0.2567885727875331,1.0,0.35227746739010163,margin
260-123286-0003_1221-135766-0008_2830-3980-0067,s2,coarse_to_fine,0,True,8.539911346546257e-05,0.2378134899726958,1.0,0.5290323519471248,accepted
260-123286-0003_1221-135766-0008_2830-3980-0067,s3,coarse_to_fine,0,True,0.0,0.21235012646332585,1.0,0.49090113104371047,accepted
260-123286-0003_1221-135766-0008_2830-3980-0067,s1,coarse_to_fine,1,False,0.0,-0.4357090967504973,1.0,0.35227746739010163,margin
260-123286-0003_1221-135766-0008_2830-3980-0067,s2,coarse_to_fine,1,True,8.539911346546257e-05,0.3668686262434382,1.0,0.5127140839261456,accepted
