scene,speaker,m,population,mean_variance,margin,vad_coverage,artifact_score
long_00007_1673-5694-174,s3,3,contaminated,0.0,0.47914730669023003,0.9925829399423026,0.766906989781478
long_00007_1673-5694-174,s3,3,swapped,0.0,0.47389010350642696,0.9929599396800419,0.7603653475752108
long_00007_1673-5694-174,s3,3,clean_correct,0.0,0.542871041793256,0.7904373196957776,0.7699938692008896
long_00007_1673-5694-174,s3,3,clean_swapped,0.0,0.30775190578801104,0.8950465512719643,0.7551577996045868
long_00008_6313-5694-2277,s1,3,honest,0.0,0.5575531014201847,0.9694479156653529,0.8115134367925294
long_00008_6313-5694-2277,s1,3,correct,0.0,0.5575531014201847,0.9694479156653529,0.8115134367925294
long_00008_6313-5694-2277,s1,3,contaminated,0.0,0.5575531014201847,0.9694479156653529,0.8115134367925294
long_00008_6313-5694-2277,s1,3,swapped,0.0,0.5544033982706071,0.9614133743471435,0.8027587056173984
long_00008_6313-5694-2277,s1,3,clean_correct,0.0,0.5931375320532519,0.8015155884520491,0.8012936099482756
long_00008_6313-5694-2277,s1,3,clean_swapped,0.0,0.5667785476960661,0.0005367041558524784,0.8605483490455895
long_00008_6313-5694-2277,s2,3,honest,0.0,0.40546657581817264,0.9553912596731208,0.7422246570039487
long_00008_6313-5694-2277,s2,3,correct,0.0,0.40546657581817264,0.9553912596731208,0.7422246570039487
long_00008_6313-5694-2277,s2,3,contaminated,6.13857297132316e-05,0.40546657581817264,0.9553912596731208,0.7422246570039487
long_00008_6313-5694-2277,s2,3,swapped,0.0,0.1313769293002836,0.9551343801175224,0.7885247460048702
long_00008_6313-5694-2277,s2,3,clean_correct,0.0,0.5563243748067073,0.801540474584979,0.7199884167246579
long_00008_6313-5694-2277,s2,3,clean_swapped,0.0,-0.06324475327428525,0.40198038082394116,0.8314756360698856
long_00008_6313-5694-2277,s3,3,honest,0.0,0.5006430113154436,0.942272420117772,0.7417949802889808
long_00008_6313-5694-2277,s3,3,correct,0.0,0.5006430113154436,0.942272420117772,0.7417949802889808
long_00008_6313-5694-2277,s3,3,contaminated,0.0,0.5006430113154436,0.942272420117772,0.7417949802889808
long_00008_6313-5694-2277,s3,3,swapped,0.0,0.46132935829311095,0.9625768253048879,0.7337654396917758
long_00008_6313-5694-2277,s3,3,clean_correct,0.0,0.5696870017699465,0.7936576889661164,0.7302044048934893
long_00008_6313-5694-2277,s3,3,clean_swapped,0.0,0.3090485406519602,0.8241866975576793,0.7246867382995883
long_00009_5536-6345-3536,s1,3,honest,0.0,0.6520461495249382,1.0,0.7308140987214599
long_00009_5536-6345-3536,s1,3,correct,0.0,0.6520461495249382,1.0,0.7308140987214599
